Relationship,AdultTraumas,Educations,Locations
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Married,No Evidence,unstated,Place of Residence
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,High School / GED,Place of Residence
Single,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Divorced / Separated / Widowed,Traumatic Accident,High School / GED,Retail
Divorced / Separated / Widowed,unstated,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Graduate School / Advanced Degree,Retail
Single,No Evidence,High School / GED,House of worship
Single,No Evidence,High School / GED,Warehouse/Factory
Single,No Evidence,Some College / Trade School,K-12 School
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,Some College / Trade School,Place of Residence
Single,No Evidence,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,Bachelor's Degree,Place of Residence
Single,Other,Some College / Trade School,Government Building / Place of Civic Importance
Single,No Evidence,unstated,Government Building / Place of Civic Importance
Single,No Evidence,Some College / Trade School,College/University
Boyfriend/Girlfriend,No Evidence,Less than high School,K-12 School
Single,No Evidence,High School / GED,House of worship
Single,No Evidence,Bachelor's Degree,Government Building / Place of Civic Importance
Single,No Evidence,Some College / Trade School,College/University
Divorced / Separated / Widowed,Death of a Parent,High School / GED,Outdoors
Married,No Evidence,Graduate School / Advanced Degree,Office
Married,No Evidence,Bachelor's Degree,Office
Married,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
unstated,unstated,unstated,Place of Residence
Married,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
Single,No Evidence,High School / GED,Outdoors
Single,No Evidence,High School / GED,Retail
Boyfriend/Girlfriend,Trauma from War,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Restaurant/Bar/Nightclub
Divorced / Separated / Widowed,No Evidence,unstated,Retail
Single,No Evidence,High School / GED,Warehouse/Factory
Boyfriend/Girlfriend,No Evidence,Bachelor's Degree,Outdoors
Married,No Evidence,High School / GED,House of worship
Married,No Evidence,Some College / Trade School,Place of Residence
Single,No Evidence,Some College / Trade School,Retail
Single,Death of a Parent,Less than high School,K-12 School
unstated,No Evidence,unstated,Retail
Single,No Evidence,High School / GED,Restaurant/Bar/Nightclub
Single,No Evidence,Less than high School,K-12 School
Single,No Evidence,Bachelor's Degree,Office
Divorced / Separated / Widowed,No Evidence,unstated,Warehouse/Factory
Single,No Evidence,Less than high School,House of worship
Divorced / Separated / Widowed,Trauma from War,Some College / Trade School,Restaurant/Bar/Nightclub
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Bachelor's Degree,Office
unstated,No Evidence,Some College / Trade School,Retail
Single,No Evidence,Some College / Trade School,Restaurant/Bar/Nightclub
unstated,Death of a Family Member,Some College / Trade School,Outdoors
Boyfriend/Girlfriend,No Evidence,unstated,Retail
Boyfriend/Girlfriend,No Evidence,unstated,Retail
Married,Death or loss of a child,Some College / Trade School,Warehouse/Factory
Single,No Evidence,Some College / Trade School,Retail
Boyfriend/Girlfriend,No Evidence,High School / GED,Place of Residence
Single,Other,Some College / Trade School,Retail
Single,No Evidence,High School / GED,Retail
Divorced / Separated / Widowed,No Evidence,unstated,Office
Single,No Evidence,Less than high School,Warehouse/Factory
Divorced / Separated / Widowed,No Evidence,Some College / Trade School,Warehouse/Factory
Single,No Evidence,Less than high School,K-12 School
Single,Death of a Parent,Bachelor's Degree,Retail
Single,No Evidence,Some College / Trade School,Retail
Single,No Evidence,Less than high School,K-12 School
Divorced / Separated / Widowed,No Evidence,Bachelor's Degree,Office
Single,Other,Less than high School,Outdoors
Single,No Evidence,Less than high School,Outdoors
Single,No Evidence,unstated,Restaurant/Bar/Nightclub
Single,unstated,unstated,Retail
